,Links,Needs Caption
0,https://www.youtube.com/watch?v=ZnWt-VDn6YA,false
1,https://www.youtube.com/watch?v=ThhP4ivBVMo,false
2,https://www.youtube.com/watch?v=oPOhKULOL4o,false
3,https://www.youtube.com/watch?v=8gEfHD_y7Pc,false
4,https://www.youtube.com/watch?v=i1dGQiNfCAc,false
5,https://www.youtube.com/watch?v=aL5YTWRpzoA,false
6,https://www.youtube.com/watch?v=9wJn6nOEr7Q,false
7,https://www.youtube.com/watch?v=D-jmpOft9hM,false
8,https://www.youtube.com/watch?v=l8gcCn_AVfg,false
9,https://www.youtube.com/watch?v=9QvqBERvunI,false
10,https://www.youtube.com/watch?v=o1cgvG1Yadg,false
11,https://www.youtube.com/watch?v=jj6tXD4tSk8,false
12,https://www.youtube.com/watch?v=5uWXfoX1x3A,false
13,https://www.youtube.com/watch?v=njwuFgoBMK8,false
14,https://www.youtube.com/watch?v=U7KpyWoJnfQ,false
15,https://www.youtube.com/watch?v=V0JuW6x8lsw,false
16,https://www.youtube.com/watch?v=qz1tWn8Cnng,false
17,https://www.youtube.com/watch?v=-zt57TWkTF4,false
18,https://www.youtube.com/watch?v=ZXXA3rov59A,false
19,https://www.youtube.com/watch?v=mhHOpWFNq68,false
20,https://www.youtube.com/watch?v=u1MNgP3LFM4,false
21,https://www.youtube.com/watch?v=XX_YvdgeLs4,false
22,https://www.youtube.com/watch?v=Z2s-q34FX7c,false
23,https://www.youtube.com/watch?v=ZAovoEHJ0Ec,false
24,https://www.youtube.com/watch?v=dkWjvAc0jLQ,false
25,https://www.youtube.com/watch?v=fuRg8_qJ7U0,false
26,https://www.youtube.com/watch?v=8rbZvQaljBk,false
27,https://www.youtube.com/watch?v=YjcxrfEVhc8,false
28,https://www.youtube.com/watch?v=JDUnSsx62j8,false
29,https://www.youtube.com/watch?v=XGsBPwRT9Z4,false
30,https://www.youtube.com/watch?v=2pXrfHUjzmM,false
31,https://www.youtube.com/watch?v=zVrHDXbXjhM,false
32,https://www.youtube.com/watch?v=Wfd3cO2gVHE,false
33,https://www.youtube.com/watch?v=v0t617WK10I,false
34,https://www.youtube.com/watch?v=zAxsIUBGHL4,false
35,https://www.youtube.com/watch?v=U7Xtmayoly8,false
36,https://www.youtube.com/watch?v=AG_ZHi3tuyk,false
37,https://www.youtube.com/watch?v=2tQddjlXj6o,false
38,https://www.youtube.com/watch?v=dsU6AATvB64,false
39,https://www.youtube.com/watch?v=SQEhx6dA4zc,false
40,https://www.youtube.com/watch?v=ygmLEnwY4ec,false
41,https://www.youtube.com/watch?v=0CRN5_eOQgc,false
42,https://www.youtube.com/watch?v=rMIK68vbl8k,false
43,https://www.youtube.com/watch?v=-Mgnwn4twZE,false
44,https://www.youtube.com/watch?v=4yvY-tYh0bM,false
45,https://www.youtube.com/watch?v=26DbJ3E4YKI,false
46,https://www.youtube.com/watch?v=JezVlLdQ2Qc,false
47,https://www.youtube.com/watch?v=Ngy9TIbREJE,false
48,https://www.youtube.com/watch?v=nwkiU6GG-YU,false
49,https://www.youtube.com/watch?v=zNBw5rPWjYc,false
50,https://www.youtube.com/watch?v=1TZzIqiwisY,false
51,https://www.youtube.com/watch?v=ucutmH2KvSQ,false
52,https://www.youtube.com/watch?v=9FmekMhO0lw,false
53,https://www.youtube.com/watch?v=3iY0figLAwo,false
54,https://www.youtube.com/watch?v=qI2vmqANYcE,false
55,https://www.youtube.com/watch?v=lJkPtX4rXug,false
56,https://www.youtube.com/watch?v=kDYok0dEauo,false
57,https://www.youtube.com/watch?v=Gnhv3WFnmH8,false
58,https://www.youtube.com/watch?v=46gNvDLgLdI,false
59,https://www.youtube.com/watch?v=7J1HcbYmeNA,false
60,https://www.youtube.com/watch?v=Tuc5nh77Jy4,false
61,https://www.youtube.com/watch?v=W872lQcy65I,false
62,https://www.youtube.com/watch?v=Ycz6TXrP-W8,false
63,https://www.youtube.com/watch?v=-1xu0IP35FI,false
64,https://www.youtube.com/watch?v=u_dLt3-ycwo,false
65,https://www.youtube.com/watch?v=PUrB5MvEPqQ,false
66,https://www.youtube.com/watch?v=bhq3AzEXLm0,false
67,https://www.youtube.com/watch?v=-TWj-biXpLo,false
68,https://www.youtube.com/watch?v=-pBPb15ykCI,false
69,https://www.youtube.com/watch?v=BEqSHwk93lE,false
70,https://www.youtube.com/watch?v=QkUXdfdXmUY,false
71,https://www.youtube.com/watch?v=Kp9PG5o-37o,false
72,https://www.youtube.com/watch?v=heyGtgdfN7A,false
73,https://www.youtube.com/watch?v=47VDnHyCUig,false
74,https://www.youtube.com/watch?v=kn-o4WqIhAg,false
75,https://www.youtube.com/watch?v=YCUrphpzEqY,false
76,https://www.youtube.com/watch?v=iN-0rTwiFBQ,false
77,https://www.youtube.com/watch?v=LOU9Ea60Zzc,false
78,https://www.youtube.com/watch?v=Rs4hTm6B9QQ,false
79,https://www.youtube.com/watch?v=jQda7atOB6I,false
80,https://www.youtube.com/watch?v=U-pZ1taV76U,false
81,https://www.youtube.com/watch?v=TCMKqA3lCJg,false
82,https://www.youtube.com/watch?v=0FdArjNTurE,false
83,https://www.youtube.com/watch?v=jQwgKiE_63g,false
84,https://www.youtube.com/watch?v=WCM8FZlFTas,false
85,https://www.youtube.com/watch?v=QIDCwhXsmho,false
86,https://www.youtube.com/watch?v=t-X5K64_HhY,false
